"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","1960-Q2",4.496005,
"KOR","QGDP","TOT","PC_CHGPP","Q","1960-Q3",-1.111563,
"KOR","QGDP","TOT","PC_CHGPP","Q","1960-Q4",0.596299,
"KOR","QGDP","TOT","PC_CHGPP","Q","1961-Q1",3.200927,
"KOR","QGDP","TOT","PC_CHGPP","Q","1961-Q2",4.316423,
"KOR","QGDP","TOT","PC_CHGPP","Q","1961-Q3",-1.825247,
"KOR","QGDP","TOT","PC_CHGPP","Q","1961-Q4",1.297044,
"KOR","QGDP","TOT","PC_CHGPP","Q","1962-Q1",1.99193,
"KOR","QGDP","TOT","PC_CHGPP","Q","1962-Q2",-1.868168,
"KOR","QGDP","TOT","PC_CHGPP","Q","1962-Q3",2.92745,
"KOR","QGDP","TOT","PC_CHGPP","Q","1962-Q4",2.880018,
"KOR","QGDP","TOT","PC_CHGPP","Q","1963-Q1",5.859394,
"KOR","QGDP","TOT","PC_CHGPP","Q","1963-Q2",-2.35856,
"KOR","QGDP","TOT","PC_CHGPP","Q","1963-Q3",3.295069,
"KOR","QGDP","TOT","PC_CHGPP","Q","1963-Q4",0.093359,
"KOR","QGDP","TOT","PC_CHGPP","Q","1964-Q1",5.970535,
"KOR","QGDP","TOT","PC_CHGPP","Q","1964-Q2",-2.874867,
"KOR","QGDP","TOT","PC_CHGPP","Q","1964-Q3",6.805402,
"KOR","QGDP","TOT","PC_CHGPP","Q","1964-Q4",4.019546,
"KOR","QGDP","TOT","PC_CHGPP","Q","1965-Q1",1.278574,
"KOR","QGDP","TOT","PC_CHGPP","Q","1965-Q2",0.226093,
"KOR","QGDP","TOT","PC_CHGPP","Q","1965-Q3",-0.790992,
"KOR","QGDP","TOT","PC_CHGPP","Q","1965-Q4",2.332367,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q1",6.129066,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q2",6.193839,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q3",-1.728704,
"KOR","QGDP","TOT","PC_CHGPP","Q","1966-Q4",1.331175,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q1",3.370042,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q2",2.087957,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q3",4.139625,
"KOR","QGDP","TOT","PC_CHGPP","Q","1967-Q4",0.660321,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q1",6.363252,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q2",1.47181,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q3",5.132129,
"KOR","QGDP","TOT","PC_CHGPP","Q","1968-Q4",-1.70663,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q1",5.110987,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q2",3.452411,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q3",8.061462,
"KOR","QGDP","TOT","PC_CHGPP","Q","1969-Q4",2.01096,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q1",-1.69438,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q2",4.021111,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q3",0.618619,
"KOR","QGDP","TOT","PC_CHGPP","Q","1970-Q4",7.704464,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q1",0.560985,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q2",3.257423,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q3",0.193234,
"KOR","QGDP","TOT","PC_CHGPP","Q","1971-Q4",0.751014,
"KOR","QGDP","TOT","PC_CHGPP","Q","1972-Q1",1.437411,
