,KOR,AUS,GBR,ESP,JPN,CAN,USA,MEX,DEU,ITA,CHE,SWE,FRA
1983-03-01,-2.2604162071877507,-2.913770761340106,-1.8939432240724132,-1.8076728442261496,-2.5103445909916746,-1.0000793499568816,-0.8338054904526915,0.4077492476779966,-0.4702319474186741,-0.811194852858251,-2.7433274013907996,-3.492757898114523,0.16063880927869967
1983-06-01,-2.1481587705483625,-2.446806151017356,-2.0188505722975556,-1.5483300638073982,-1.8983527857013323,-1.0073482295720706,-1.052184466226274,-2.041060367200841,-1.6088686702209931,-0.5154127349982163,-1.31262787501384,-3.6923778265228338,0.4166022710375483
1983-09-01,-2.7956113424275184,-2.889650645207278,-1.88584431063188,-1.5956604989279763,-1.9197512298396617,-1.5025803516967373,-0.981898936349672,-3.012486397502952,-1.6652902233726528,-1.1364226091016354,-1.802166801418106,-2.763657249094626,-0.799503465928548
1983-12-01,-2.8971421163532565,-3.213940247570282,-1.964004828893801,-1.1659041458874189,-2.103948937473782,-1.544119627634402,-0.9726051762978116,-3.3786885757418608,-1.0036702489525973,-1.0082996972985974,-1.938390322401328,-3.548204501522151,-0.8527114125512756
1984-03-01,-2.971553508028009,-3.1256150795582167,-2.2354623969736758,-1.2085235293153764,-1.3511553445832933,-1.752321408279544,-1.058895883700639,-2.956594105596646,-1.0146011351339594,-0.9956833910398855,-2.2172840632345454,-2.5681962015890196,-0.7931081023906434
1984-06-01,-3.6386425245831577,-2.8986238999398335,-1.9306671571016993,-0.9496076367437583,-1.5278187278952642,-1.7438358688140028,-1.1026105455757402,-0.673516017251875,-1.2079836877338062,-1.276450335328775,-2.742452692032594,-3.1733981063447496,-0.7571730724909065
1984-09-01,-3.6144654945321517,-1.9294949823737375,-1.9970793345543165,-0.8181194890474219,-1.6126635111678356,-0.8596883677634584,-1.021648519362369,-2.061671473141274,-1.5248439196227055,-1.452113649922069,-2.328744970619769,-3.242907960348755,-0.7970366702182172
1984-12-01,-4.557576556112374,-2.315933330325212,-1.8690772486240483,-0.859741346067111,-0.7444526779494254,-0.867514284808647,-1.0428376781291084,-2.0677573799743434,-2.0247612691534154,-1.4802413208787613,-2.2275971191906887,-3.5467875165454252,-0.8514715703399804
1985-03-01,-3.0634986608813666,-2.0315940938818744,-1.76293467537838,-0.7481689030789775,-0.7478400531367013,-0.8551921877467014,-1.0414914284730703,-2.1306809244515312,-1.8344927816893322,-1.250750187921936,-2.0890685683956773,-3.6249404176348046,-0.8786234373127422
1985-06-01,-3.27034145729786,-2.390576538159499,-1.4614086683598078,-0.6419453964488286,-0.7780959986297677,-0.9381688902851916,-1.195329564421905,-2.408674842221595,-0.8876943531677182,-1.2011710998526681,-2.457608383194458,-2.746817419900848,-0.9006598438758505
