country,date,CAN,CHE,DEU,ESP,FRA,GBR,ITA,JPN,KOR,MEX,SWE,USA
CAN,1992-12-01,0.0,0.050424735654991254,0.05319276537400752,0.05016113528963966,0.049962458988497445,0.06206661925794965,0.0056672570103589994,0.007904422514560255,0.015478456529306524,0.058726430557570895,0.05309648496077546,0.0014647017608270822
CHE,1992-12-01,0.016888214936321092,0.0,0.0041211629124513404,0.01438927796080809,0.23921555217120571,0.06483708938209211,0.01730788262529095,0.009786777930309746,0.013585028553527183,0.0160059893208755,0.040544685029344024,0.010209134376840075
DEU,1992-12-01,0.0733177448865024,0.007405732034629295,0.0,0.03464311417493724,0.05709008346163954,0.004676672643142443,0.04195805853454001,0.004457797889147446,0.06928672710832921,0.0131262411398317,0.013171199667842,0.015483554671530992
ESP,1992-12-01,0.026920505813140316,0.012349991646873773,0.017167493417513457,0.0,0.02883610263064338,0.017031275504150917,0.07899411347899814,0.003473356913570705,0.06848913418269983,0.008743526675822913,0.05093703924692714,0.0034460355206132427
FRA,1992-12-01,0.022806405325947705,0.0501731218947293,0.008552657263865582,0.04571817365494222,0.0,0.00771602504082556,0.03284839872185136,0.015690856937623624,0.008269246822320303,0.03984124414907754,0.010055447172553448,0.006573152117528251
GBR,1992-12-01,0.019532611525017122,0.004767354463319967,0.027119054070642398,0.014283917577194829,0.08829867980648716,0.0,0.014619620163660514,0.008506626906068472,0.013208603675051948,0.008938539239476443,0.012275223634002838,0.0558781770948563
ITA,1992-12-01,0.006828844713744317,0.021564137449510096,0.04140462016166734,0.118048611620621,0.013043452819165014,0.057267185327171115,0.0,0.016786668848290987,0.06089638657015098,0.024058497975028834,0.013697599881179608,0.055072690606191375
JPN,1992-12-01,0.008333957245464778,0.07063091351134361,0.003282182786959418,0.005605588211467739,0.05872569188587756,0.009768072131755004,0.07546389669419909,0.0,0.02726249558577827,0.03044859583928871,0.024240956159332923,0.047222556537595675
KOR,1992-12-01,0.016747880622054744,0.022502626268242603,0.03861027748281685,0.19620092026673241,0.07595686374571142,0.018502268815074954,0.02018834745444805,0.018595759499646782,0.0,0.023330300149526945,0.015682060186762863,0.1146935106192904
MEX,1992-12-01,0.10430254890315925,0.06319238886152365,0.06678009907285941,0.03707667893221651,0.02908767985824266,0.007004495282093151,0.052974142925778345,0.03438840409188418,0.06386989138609253,0.0,0.07502612665275944,0.0035314297540413584
SWE,1992-12-01,0.054186472492045015,0.04477910870588913,0.007675515806712678,0.040872961335458945,0.0073966435930410655,0.06693053123616197,0.035270165860891795,0.029630544088408692,0.007625538852844376,0.026757169964637603,0.0,0.016655686945388215
USA,1992-12-01,0.008217042035868174,0.0017391575189930708,0.0045615967846141005,0.005840099605432444,0.012982905699153384,0.0017180642626152033,0.036686648754674867,0.01364179486601428,0.04045363837949069,0.005073779731534548,0.011698873929139,0.0
CAN,1993-03-01,0.0,0.04319957111339715,0.050896242791888424,0.04568478708416182,0.04378672008505987,0.06477790173632113,0.00401689048066326,0.008587252291535166,0.018235870734643084,0.05821459450018573,0.04226963650862408,0.0012390679965306925
